"","Date","Open"
"1",1969-12-31,91.599998
"2",1970-01-02,92.059998
"3",1970-01-05,93
"4",1970-01-06,93.459999
"5",1970-01-07,92.82
"6",1970-01-08,92.629997
"7",1970-01-09,92.68
"8",1970-01-12,92.400002
"9",1970-01-13,91.699997
"10",1970-01-14,91.919998
"11",1970-01-15,91.650002
"12",1970-01-16,91.68
"13",1970-01-19,90.720001
"14",1970-01-20,89.650002
"15",1970-01-21,89.830002
"16",1970-01-22,89.949997
"17",1970-01-23,90.040001
"18",1970-01-26,89.230003
"19",1970-01-27,88.169998
"20",1970-01-28,87.620003
"21",1970-01-29,86.790001
"22",1970-01-30,85.690002
"23",1970-02-02,85.019997
"24",1970-02-03,85.75
"25",1970-02-04,86.769997
"26",1970-02-05,86.239998
"27",1970-02-06,85.900002
"28",1970-02-09,86.330002
"29",1970-02-10,87.010002
"30",1970-02-11,86.099998
"31",1970-02-12,86.940002
"32",1970-02-13,86.730003
"33",1970-02-16,86.540001
"34",1970-02-17,86.470001
"35",1970-02-18,86.370003
"36",1970-02-19,87.440002
"37",1970-02-20,87.760002
"38",1970-02-24,88.029999
"39",1970-02-25,87.989998
"40",1970-02-26,89.349998
"41",1970-02-27,88.900002
"42",1970-03-02,89.5
"43",1970-03-03,89.709999
"44",1970-03-04,90.230003
"45",1970-03-05,90.040001
"46",1970-03-06,90
"47",1970-03-09,89.43
"48",1970-03-10,88.510002
"49",1970-03-11,88.75
"50",1970-03-12,88.690002
"51",1970-03-13,88.330002
"52",1970-03-16,87.860001
"53",1970-03-17,86.910004
"54",1970-03-18,87.290001
"55",1970-03-19,87.540001
"56",1970-03-20,87.419998
"57",1970-03-23,87.059998
"58",1970-03-24,86.989998
"59",1970-03-25,88.110001
"60",1970-03-26,89.769997
"61",1970-03-30,89.919998
"62",1970-03-31,89.629997
"63",1970-04-01,89.629997
"64",1970-04-02,90.07
"65",1970-04-03,89.790001
"66",1970-04-06,89.389999
"67",1970-04-07,88.760002
"68",1970-04-08,88.519997
"69",1970-04-09,88.489998
"70",1970-04-10,88.529999
"71",1970-04-13,88.239998
"72",1970-04-14,87.639999
"73",1970-04-15,86.889999
"74",1970-04-16,86.730003
"75",1970-04-17,85.879997
"76",1970-04-20,85.669998
"77",1970-04-21,85.830002
"78",1970-04-22,85.379997
"79",1970-04-23,84.269997
"80",1970-04-24,83.040001
"81",1970-04-27,82.769997
"82",1970-04-28,81.459999
"83",1970-04-29,80.269997
"84",1970-04-30,81.809998
"85",1970-05-01,81.519997
"86",1970-05-04,81.279999
"87",1970-05-05,79.370003
"88",1970-05-06,78.599998
"89",1970-05-07,79.470001
"90",1970-05-08,79.830002
"91",1970-05-11,79.440002
"92",1970-05-12,78.599998
"93",1970-05-13,77.75
"94",1970-05-14,76.529999
"95",1970-05-15,75.440002
"96",1970-05-18,76.900002
"97",1970-05-19,76.959999
"98",1970-05-20,75.349998
"99",1970-05-21,73.510002
"100",1970-05-22,72.160004
"101",1970-05-25,72.160004
"102",1970-05-26,70.25
"103",1970-05-27,69.370003
"104",1970-05-28,72.769997
"105",1970-05-29,74.610001
"106",1970-06-01,76.550003
"107",1970-06-02,77.839996
"108",1970-06-03,77.839996
"109",1970-06-04,78.519997
"110",1970-06-05,77.360001
"111",1970-06-08,76.169998
"112",1970-06-09,76.290001
"113",1970-06-10,76.25
"114",1970-06-11,75.480003
"115",1970-06-12,74.449997
"116",1970-06-15,73.879997
"117",1970-06-16,74.580002
"118",1970-06-17,76.150002
"119",1970-06-18,76
"120",1970-06-19,76.510002
"121",1970-06-22,77.050003
"122",1970-06-23,76.639999
"123",1970-06-24,74.760002
"124",1970-06-25,73.970001
"125",1970-06-26,74.019997
"126",1970-06-29,73.470001
"127",1970-06-30,72.889999
"128",1970-07-01,72.720001
"129",1970-07-02,72.940002
"130",1970-07-06,72.919998
"131",1970-07-07,71.779999
"132",1970-07-08,71.230003
"133",1970-07-09,73
"134",1970-07-10,74.059998
"135",1970-07-13,74.449997
"136",1970-07-14,74.550003
"137",1970-07-15,74.419998
"138",1970-07-16,75.230003
"139",1970-07-17,76.370003
"140",1970-07-20,77.690002
"141",1970-07-21,77.790001
"142",1970-07-22,76.980003
"143",1970-07-23,77.029999
"144",1970-07-24,78
"145",1970-07-27,77.82
"146",1970-07-28,77.650002
"147",1970-07-29,77.769997
"148",1970-07-30,78.040001
"149",1970-07-31,78.07
"150",1970-08-03,78.050003
"151",1970-08-04,77.019997
"152",1970-08-05,77.190002
"153",1970-08-06,77.18
"154",1970-08-07,77.080002
"155",1970-08-10,77.279999
"156",1970-08-11,76.199997
"157",1970-08-12,75.82
"158",1970-08-13,75.419998
"159",1970-08-14,74.760002
"160",1970-08-17,75.18
"161",1970-08-18,75.330002
"162",1970-08-19,76.199997
"163",1970-08-20,76.959999
"164",1970-08-21,77.839996
"165",1970-08-24,79.410004
"166",1970-08-25,80.989998
"167",1970-08-26,81.120003
"168",1970-08-27,81.209999
"169",1970-08-28,81.080002
"170",1970-08-31,81.860001
"171",1970-09-01,81.519997
"172",1970-09-02,80.949997
"173",1970-09-03,80.959999
"174",1970-09-04,82.089996
"175",1970-09-08,82.830002
"176",1970-09-09,83.040001
"177",1970-09-10,82.790001
"178",1970-09-11,82.300003
"179",1970-09-14,82.519997
"180",1970-09-15,82.07
"181",1970-09-16,81.360001
"182",1970-09-17,81.790001
"183",1970-09-18,82.290001
"184",1970-09-21,82.620003
"185",1970-09-22,81.910004
"186",1970-09-23,81.860001
"187",1970-09-24,81.910004
"188",1970-09-25,81.660004
"189",1970-09-28,82.830002
"190",1970-09-29,83.910004
"191",1970-09-30,83.860001
"192",1970-10-01,84.300003
"193",1970-10-02,84.32
"194",1970-10-05,85.160004
"195",1970-10-06,86.470001
"196",1970-10-07,86.849998
"197",1970-10-08,86.889999
"198",1970-10-09,85.949997
"199",1970-10-12,85.050003
"200",1970-10-13,84.169998
"201",1970-10-14,84.059998
"202",1970-10-15,84.190002
"203",1970-10-16,84.650002
"204",1970-10-19,84.279999
"205",1970-10-20,83.150002
"206",1970-10-21,83.639999
"207",1970-10-22,83.660004
"208",1970-10-23,83.379997
"209",1970-10-26,83.769997
"210",1970-10-27,83.309998
"211",1970-10-28,83.120003
"212",1970-10-29,83.43
"213",1970-10-30,83.360001
"214",1970-11-02,83.25
"215",1970-11-03,83.510002
"216",1970-11-04,84.220001
"217",1970-11-05,84.389999
"218",1970-11-06,84.099998
"219",1970-11-09,84.220001
"220",1970-11-10,84.669998
"221",1970-11-11,84.790001
"222",1970-11-12,85.029999
"223",1970-11-13,84.150002
"224",1970-11-16,83.370003
"225",1970-11-17,83.239998
"226",1970-11-18,83.470001
"227",1970-11-19,82.790001
"228",1970-11-20,82.910004
"229",1970-11-23,83.720001
"230",1970-11-24,84.239998
"231",1970-11-25,84.779999
"232",1970-11-27,85.089996
"233",1970-11-30,85.93
"234",1970-12-01,87.199997
"235",1970-12-02,87.470001
"236",1970-12-03,88.480003
"237",1970-12-04,88.900002
"238",1970-12-07,89.459999
"239",1970-12-08,89.940002
"240",1970-12-09,89.470001
"241",1970-12-10,89.540001
"242",1970-12-11,89.919998
"243",1970-12-14,90.260002
"244",1970-12-15,89.800003
"245",1970-12-16,89.660004
"246",1970-12-17,89.720001
"247",1970-12-18,90.040001
"248",1970-12-21,90.220001
"249",1970-12-22,89.940002
"250",1970-12-23,90.040001
"251",1970-12-24,90.099998
"252",1970-12-28,90.610001
"253",1970-12-29,91.089996
"254",1970-12-30,92.080002
"255",1970-12-31,92.269997
"256",1971-01-04,92.150002
"257",1971-01-05,91.150002
"258",1971-01-06,91.800003
"259",1971-01-07,92.349998
"260",1971-01-08,92.379997
"261",1971-01-11,92.190002
"262",1971-01-12,91.980003
"263",1971-01-13,92.720001
"264",1971-01-14,92.559998
"265",1971-01-15,92.800003
"266",1971-01-18,93.029999
"267",1971-01-19,93.410004
"268",1971-01-20,93.760002
"269",1971-01-21,93.779999
"270",1971-01-22,94.190002
"271",1971-01-25,94.879997
"272",1971-01-26,95.279999
"273",1971-01-27,95.589996
"274",1971-01-28,94.889999
"275",1971-01-29,95.209999
"276",1971-02-01,95.879997
"277",1971-02-02,96.419998
"278",1971-02-03,96.43
"279",1971-02-04,96.629997
"280",1971-02-05,96.620003
"281",1971-02-08,96.93
"282",1971-02-09,97.449997
"283",1971-02-10,97.510002
"284",1971-02-11,97.389999
"285",1971-02-12,97.910004
"286",1971-02-16,98.43
"287",1971-02-17,98.660004
"288",1971-02-18,98.199997
"289",1971-02-19,97.559998
"290",1971-02-22,96.650002
"291",1971-02-23,95.720001
"292",1971-02-24,96.089996
"293",1971-02-25,96.730003
"294",1971-02-26,96.959999
"295",1971-03-01,96.75
"296",1971-03-02,97
"297",1971-03-03,96.980003
"298",1971-03-04,96.949997
"299",1971-03-05,97.919998
"300",1971-03-08,98.959999
"301",1971-03-09,99.379997
"302",1971-03-10,99.459999
"303",1971-03-11,99.300003
"304",1971-03-12,99.389999
"305",1971-03-15,99.57
"306",1971-03-16,100.709999
"307",1971-03-17,101.209999
"308",1971-03-18,101.120003
"309",1971-03-19,101.190002
"310",1971-03-22,101.010002
"311",1971-03-23,100.620003
"312",1971-03-24,100.279999
"313",1971-03-25,99.620003
"314",1971-03-26,99.610001
"315",1971-03-29,99.949997
"316",1971-03-30,100.029999
"317",1971-03-31,100.260002
"318",1971-04-01,100.309998
"319",1971-04-02,100.389999
"320",1971-04-05,100.559998
"321",1971-04-06,100.790001
"322",1971-04-07,101.510002
"323",1971-04-08,101.980003
"324",1971-04-12,102.099998
"325",1971-04-13,102.879997
"326",1971-04-14,102.980003
"327",1971-04-15,103.370003
"328",1971-04-16,103.519997
"329",1971-04-19,103.489998
"330",1971-04-20,104.010002
"331",1971-04-21,103.610001
"332",1971-04-22,103.360001
"333",1971-04-23,103.559998
"334",1971-04-26,104.050003
"335",1971-04-27,103.940002
"336",1971-04-28,104.589996
"337",1971-04-29,104.769997
"338",1971-04-30,104.629997
"339",1971-05-03,103.949997
"340",1971-05-04,103.290001
"341",1971-05-05,103.790001
"342",1971-05-06,103.779999
"343",1971-05-07,103.230003
"344",1971-05-10,102.870003
"345",1971-05-11,102.360001
"346",1971-05-12,102.620003
"347",1971-05-13,102.900002
"348",1971-05-14,102.690002
"349",1971-05-17,102.080002
"350",1971-05-18,100.690002
"351",1971-05-19,100.830002
"352",1971-05-20,101.07
"353",1971-05-21,101.309998
"354",1971-05-24,100.989998
"355",1971-05-25,100.129997
"356",1971-05-26,99.470001
"357",1971-05-27,99.589996
"358",1971-05-28,99.400002
"359",1971-06-01,99.629997
"360",1971-06-02,100.199997
"361",1971-06-03,100.959999
"362",1971-06-04,101.010002
"363",1971-06-07,101.300003
"364",1971-06-08,101.089996
"365",1971-06-09,100.32
"366",1971-06-10,100.290001
"367",1971-06-11,100.639999
"368",1971-06-14,101.07
"369",1971-06-15,100.220001
"370",1971-06-16,100.32
"371",1971-06-17,100.519997
"372",1971-06-18,100.5
"373",1971-06-21,98.970001
"374",1971-06-22,97.870003
"375",1971-06-23,97.589996
"376",1971-06-24,98.410004
"377",1971-06-25,98.129997
"378",1971-06-28,97.989998
"379",1971-06-29,97.739998
"380",1971-06-30,98.82
"381",1971-07-01,99.160004
"382",1971-07-02,99.779999
"383",1971-07-06,99.779999
"384",1971-07-07,99.760002
"385",1971-07-08,100.040001
"386",1971-07-09,100.339996
"387",1971-07-12,100.690002
"388",1971-07-13,100.82
"389",1971-07-14,99.5
"390",1971-07-15,99.220001
"391",1971-07-16,99.279999
"392",1971-07-19,99.110001
"393",1971-07-20,98.93
"394",1971-07-21,99.32
"395",1971-07-22,99.279999
"396",1971-07-23,99.110001
"397",1971-07-26,98.940002
"398",1971-07-27,98.139999
"399",1971-07-28,97.779999
"400",1971-07-29,97.07
"401",1971-07-30,96.019997
"402",1971-08-02,95.580002
"403",1971-08-03,95.959999
